global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
14450,288,-0.64551,50,0.9542,0.003715,,63.507,2.8906,0.42,63.44
14500,289,-0.73851,50,0.9541,0.003932,,69.177,3.5912,0.3,56.58
14550,290,-1.16997,50,0.9539,0.003897,,68.353,4.76,0.46,90.12
14600,291,-0.62129,50,0.9538,0.004147,,67.136,3.0245,0.28,51.58
14650,292,-2.55658,50,0.9536,0.003779,,78.925,7.8027,0.64,214.15
14700,293,-1.05537,50,0.9535,0.003952,,72.889,4.7845,0.38,73.73
14750,294,-0.74163,50,0.9533,0.003564,,67.418,3.6433,0.36,56.83
14800,295,-1.28464,50,0.9531,0.003725,,70.583,4.6019,0.4,110.65
14850,296,-3.01699,50,0.953,0.003597,,68.767,7.6985,0.64,289.19
14900,297,-0.76064,50,0.9528,0.003715,,72.145,3.882,0.38,53.4
14950,298,-3.39197,50,0.9527,0.003727,,69.397,8.1415,0.54,349.68
15000,299,-0.65218,50,0.9525,0.003802,,70.202,3.2104,0.3,49.51
15050,300,-1.16942,50,0.9523,0.006342,,70.477,3.5579,0.44,128.8
15100,301,-0.33924,50,0.9522,0.005617,,68.803,1.7441,0.18,32.92
15150,302,-1.24024,50,0.952,0.006132,,69.04,5.1715,0.46,92.08
15200,303,-0.63107,50,0.9519,0.005563,,74.686,2.8883,0.3,50.22
15250,304,-2.5917,50,0.9517,0.005452,,68.563,6.7059,0.46,255.05
15300,305,-0.56011,50,0.9516,0.005666,,63.5,3.0762,0.3,44.52
15350,306,-2.20055,50,0.9514,0.005263,,71.766,5.8389,0.42,219.51
15400,307,-0.30341,50,0.9512,0.005959,,65.568,2.0404,0.24,27.78
15450,308,-1.18208,50,0.9511,0.005264,,62.651,4.9575,0.44,88.68
15500,309,-0.50046,50,0.9509,0.005386,,67.569,2.05,0.24,59.78
15550,310,-1.30866,50,0.9508,0.005345,,66.282,4.3621,0.46,131.53
15600,311,-1.87417,50,0.9506,0.005323,,69.752,5.878,0.54,175.9
15650,312,-0.0236,50,0.9504,0.005508,,58.863,1.231,0.12,11.88
15700,313,-0.83919,50,0.9503,0.005385,,61.882,3.9039,0.42,70.16
15750,314,-2.87562,50,0.9501,0.004849,,67.815,7.8219,0.62,281.09
15800,315,-3.42084,50,0.95,0.005276,,65.813,7.6943,0.58,365.39
15850,316,-0.88491,50,0.9498,0.005509,,63.228,3.6752,0.42,83.14
15900,317,-0.19794,50,0.9496,0.005328,,85.002,1.8902,0.04,9.07
15950,318,-2.26341,50,0.9495,0.005655,,80.691,6.8302,0.44,199.0
16000,319,-2.68108,50,0.9493,0.004959,,67.772,7.5473,0.56,248.3
16050,320,-1.88125,50,0.9492,0.008924,,70.54,5.9337,0.56,172.07
16100,321,-1.04071,50,0.949,0.007225,,68.681,3.7929,0.34,97.93
16150,322,-4.39707,50,0.9489,0.007609,,68.056,10.6603,0.76,431.01
16200,323,-2.92178,50,0.9487,0.00694,,75.774,7.1418,0.62,287.25
16250,324,-1.14396,50,0.9485,0.00689,,61.007,4.6788,0.32,94.31
16300,325,-4.35221,50,0.9484,0.006851,,70.322,8.4942,0.56,481.43
16350,326,-1.52677,50,0.9482,0.007075,,66.737,4.9689,0.6,143.75
16400,327,-0.15623,50,0.9481,0.006587,,62.042,2.0383,0.22,14.88
16450,328,-1.17453,50,0.9479,0.007257,,67.072,4.8459,0.56,88.33
16500,329,-2.5122,50,0.9477,0.007,,67.029,6.7968,0.62,247.29
16550,330,-2.11142,50,0.9476,0.006936,,62.622,5.8717,0.48,204.51
16600,331,-0.80585,50,0.9474,0.00681,,73.609,3.0745,0.22,82.52
16650,332,-3.52283,50,0.9473,0.006833,,75.221,9.2556,0.64,332.08
16700,333,-2.75679,50,0.9471,0.007144,,68.87,8.1774,0.64,239.75
16750,334,-2.89429,50,0.947,0.006994,,64.869,7.5213,0.64,277.96
16800,335,-0.39477,50,0.9468,0.006762,,65.395,2.817,0.36,33.27
16850,336,-2.06828,50,0.9466,0.006585,,73.626,6.3644,0.6,187.03
16900,337,-0.89524,50,0.9465,0.006248,,70.342,3.435,0.32,78.46
16950,338,-0.22499,50,0.9463,0.006252,,65.452,1.3717,0.24,32.28
17000,339,-2.70638,50,0.9462,0.005752,,68.84,7.9317,0.52,244.26
17050,340,-1.65761,50,0.946,0.009407,,74.862,5.8312,0.52,140.44
17100,341,-0.55341,50,0.9458,0.010214,,71.509,2.8977,0.32,52.01
17150,342,-0.98965,50,0.9457,0.010105,,64.493,4.1116,0.42,83.59
17200,343,-1.10983,50,0.9455,0.008319,,64.47,3.9656,0.38,101.22
17250,344,-1.024,50,0.9454,0.009011,,75.977,3.8165,0.36,93.67
17300,345,-0.50674,50,0.9452,0.008115,,67.893,2.7661,0.3,42.24
17350,346,-3.35131,50,0.9451,0.00883,,76.424,8.6785,0.66,327.95
17400,347,-3.88122,50,0.9449,0.007988,,78.929,9.1202,0.64,388.93
17450,348,-1.03891,50,0.9447,0.00974,,66.313,4.113,0.44,93.74
17500,349,-1.40437,50,0.9446,0.008933,,75.059,4.5482,0.36,132.17
17550,350,-1.88771,50,0.9444,0.00841,,64.0,5.5596,0.66,187.8
17600,351,-3.24718,50,0.9443,0.008174,,68.374,8.3663,0.66,316.37
17650,352,-0.68829,50,0.9441,0.008795,,72.15,3.1169,0.28,59.23
17700,353,-0.59433,50,0.9439,0.008344,,72.809,3.2776,0.3,41.68
17750,354,0.0161,50,0.9438,0.008332,,85.001,0.6613,0.06,2.98
17800,355,-1.36451,50,0.9436,0.007151,,64.427,4.3319,0.48,140.26
17850,356,-1.04372,50,0.9435,0.007839,,63.192,3.7018,0.36,93.72
