global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
10550,210,-1.51398,50,0.9666,0.007751,,62.81,3.9381,0.4,171.14
10600,211,-4.65976,50,0.9664,0.008004,,70.982,10.1028,0.66,484.2
10650,212,-2.29307,50,0.9663,0.009034,,66.672,4.6353,0.42,264.71
10700,213,-0.99449,50,0.9661,0.007818,,65.322,3.7423,0.36,93.0
10750,214,-1.18735,50,0.966,0.007001,,77.776,3.0983,0.3,133.87
10800,215,-1.96705,50,0.9658,0.007737,,63.943,4.2655,0.48,233.15
10850,216,-1.08761,50,0.9656,0.007529,,74.341,3.8273,0.32,98.83
10900,217,-3.50588,50,0.9655,0.006895,,71.197,7.989,0.58,361.78
10950,218,-3.83124,50,0.9653,0.006023,,82.021,8.5384,0.48,388.6
11000,219,-2.5175,50,0.9652,0.005787,,67.93,6.0881,0.36,267.54
11050,220,-2.90333,50,0.965,0.007268,,79.234,6.0218,0.36,316.18
11100,221,-0.32836,50,0.9648,0.009261,,76.361,1.7206,0.22,42.16
11150,222,-0.25987,50,0.9647,0.005604,,66.229,1.7688,0.14,35.42
11200,223,-0.43504,50,0.9645,0.00662,,77.851,2.1293,0.14,46.93
11250,224,-2.87076,50,0.9644,0.005912,,69.864,6.1755,0.46,316.32
11300,225,-1.54573,50,0.9642,0.005976,,67.785,4.9481,0.44,142.62
11350,226,-4.82872,50,0.9641,0.003561,,60.844,9.2733,0.62,530.26
11400,227,-3.79237,50,0.9639,0.004456,,76.25,8.0359,0.46,408.17
11450,228,-1.81656,50,0.9637,0.004863,,67.5,4.5812,0.44,197.83
11500,229,-0.05838,50,0.9636,0.005296,,67.624,1.5172,0.1,5.69
11550,230,-6.65115,50,0.9634,0.004859,,75.566,11.3861,0.62,750.66
11600,231,-6.97544,50,0.9633,0.006542,,75.329,13.9562,0.64,733.11
11650,232,-3.75983,50,0.9631,0.00435,,65.315,8.5186,0.56,385.98
11700,233,-1.88638,50,0.9629,0.004196,,69.767,4.9825,0.38,193.01
11750,234,0.13492,50,0.9628,0.004598,,75.645,0.4326,0.08,3.89
11800,235,-2.17459,50,0.9626,0.00437,,70.0,5.7274,0.5,224.57
11850,236,-0.81138,50,0.9625,0.00507,,65.136,3.2293,0.26,77.36
11900,237,-4.00381,50,0.9623,0.004237,,66.924,8.7633,0.56,419.31
11950,238,-0.94972,50,0.9622,0.004179,,72.203,3.4317,0.18,93.75
12000,239,-5.85083,50,0.962,0.004244,,73.548,10.0554,0.54,666.79
12050,240,-5.13668,50,0.9618,0.006061,,70.263,10.8846,0.68,534.99
12100,241,-3.00294,50,0.9617,0.006194,,79.265,6.0332,0.34,333.53
12150,242,-3.97464,50,0.9615,0.005006,,73.064,8.4744,0.5,424.99
12200,243,-1.21919,50,0.9614,0.004377,,72.668,4.0295,0.38,113.45
12250,244,-0.47897,50,0.9612,0.004479,,62.838,2.4494,0.24,47.81
12300,245,-2.44951,50,0.961,0.004161,,69.161,6.1405,0.36,243.09
12350,246,-2.6214,50,0.9609,0.004639,,71.049,6.7559,0.5,253.84
12400,247,-3.19791,50,0.9607,0.003598,,70.246,8.0735,0.46,309.18
12450,248,-2.17165,50,0.9606,0.004771,,71.072,5.6897,0.38,220.01
12500,249,-2.80085,50,0.9604,0.004028,,71.138,5.1699,0.42,330.8
12550,250,0.01856,50,0.9603,0.003641,,67.369,0.9227,0.08,7.67
12600,251,-1.80801,50,0.9601,0.004184,,64.805,5.3502,0.44,173.98
12650,252,-4.42058,50,0.9599,0.004025,,73.053,8.3969,0.6,495.89
12700,253,-4.52405,50,0.9598,0.003421,,70.416,9.118,0.58,489.74
12750,254,-0.20145,50,0.9596,0.00447,,74.636,1.2941,0.18,30.93
12800,255,-0.60745,50,0.9595,0.003079,,75.511,2.2984,0.16,72.15
12850,256,-2.71768,50,0.9593,0.003732,,72.08,5.9942,0.38,296.3
12900,257,-1.78736,50,0.9591,0.004924,,72.48,5.4309,0.34,170.79
12950,258,-1.70697,50,0.959,0.005459,,79.318,4.8575,0.4,166.83
13000,259,-3.86263,50,0.9588,0.003244,,64.148,8.197,0.48,415.39
13050,260,-2.91114,50,0.9587,0.006102,,68.476,6.6044,0.48,305.54
13100,261,-2.90527,50,0.9585,0.004641,,67.095,6.8955,0.48,303.12
13150,262,-3.70112,50,0.9584,0.004211,,73.75,6.7352,0.46,428.17
13200,263,-1.24947,50,0.9582,0.005795,,71.141,4.2269,0.38,128.41
13250,264,-1.39536,50,0.958,0.004681,,69.766,2.9454,0.28,170.26
13300,265,-1.70865,50,0.9579,0.003705,,65.17,4.5792,0.38,185.55
13350,266,-2.0894,50,0.9577,0.003617,,69.708,5.2882,0.4,209.41
13400,267,-1.89697,50,0.9576,0.003918,,71.01,5.1715,0.46,188.6
13450,268,-1.78933,50,0.9574,0.0052,,66.994,4.9154,0.44,176.36
13500,269,-3.84707,50,0.9573,0.005329,,69.365,7.8912,0.5,419.76
13550,270,-3.52316,50,0.9571,0.003354,,68.259,7.8011,0.5,364.27
13600,271,-4.71529,50,0.9569,0.003645,,61.25,7.9946,0.54,553.14
13650,272,-2.26561,50,0.9568,0.004333,,63.545,5.8799,0.48,229.2
13700,273,-9.40272,50,0.9566,0.003948,,67.75,14.9185,0.74,1083.59
13750,274,-4.19695,50,0.9565,0.004399,,65.759,9.3262,0.6,437.63
13800,275,-2.12671,50,0.9563,0.003178,,73.837,5.2803,0.36,217.11
13850,276,-2.39365,50,0.9561,0.003446,,80.595,5.8864,0.38,241.27
13900,277,-2.72569,50,0.956,0.004254,,69.403,6.7145,0.52,280.17
13950,278,-1.7652,50,0.9558,0.004194,,74.518,4.3517,0.26,198.36
14000,279,-3.98669,50,0.9557,0.003463,,71.0,7.3175,0.42,453.3
14050,280,-0.76227,50,0.9555,0.004929,,64.14,1.8916,0.18,109.3
14100,281,-5.08566,50,0.9554,0.003633,,71.205,11.2772,0.62,524.65
14150,282,-0.86405,50,0.9552,0.004618,,71.613,2.4646,0.28,104.96
14200,283,-1.71568,50,0.955,0.003541,,63.75,4.7502,0.44,175.4
14250,284,-0.3318,50,0.9549,0.002419,,72.778,1.7179,0.16,37.99
14300,285,-1.71771,50,0.9547,0.003542,,71.759,4.4197,0.28,193.55
14350,286,-3.5906,50,0.9546,0.003769,,67.35,8.3632,0.6,365.76
14400,287,-4.90372,50,0.9544,0.002894,,72.966,8.6446,0.52,562.92
14450,288,-0.71018,50,0.9542,0.003375,,63.046,2.9802,0.3,71.11
14500,289,-1.77846,50,0.9541,0.004888,,67.845,3.9766,0.34,204.05
14550,290,-1.68617,50,0.9539,0.003779,,69.027,4.919,0.44,163.15
14600,291,-1.41916,50,0.9538,0.004306,,67.186,3.7078,0.24,154.01
14650,292,-3.02826,50,0.9536,0.003695,,76.925,8.2992,0.48,274.49
14700,293,-2.61687,50,0.9535,0.003774,,74.139,5.6049,0.44,287.03
14750,294,-1.43013,50,0.9533,0.003337,,71.34,4.0222,0.36,148.69
14800,295,-2.44011,50,0.9531,0.003913,,74.635,5.9093,0.42,248.42
14850,296,-3.02871,50,0.953,0.002632,,68.767,8.0693,0.62,282.11
14900,297,-1.8377,50,0.9528,0.003496,,75.43,4.4931,0.34,197.77
14950,298,-5.03067,50,0.9527,0.002929,,69.824,7.8069,0.5,603.73
15000,299,-1.63985,50,0.9525,0.003667,,68.319,4.1892,0.3,175.05
15050,300,-1.88323,50,0.9523,0.0043,,72.354,3.7649,0.46,229.62
15100,301,-0.36177,50,0.9522,0.004079,,67.013,1.5036,0.18,43.78
15150,302,-2.65759,50,0.952,0.003616,,71.25,6.6069,0.52,267.45
15200,303,-0.69581,50,0.9519,0.003311,,75.194,2.8843,0.24,60.48
15250,304,-4.38182,50,0.9517,0.004562,,67.563,8.8104,0.6,472.06
15300,305,-1.14701,50,0.9516,0.003878,,65.996,3.7111,0.36,115.04
15350,306,-2.57587,50,0.9514,0.00359,,73.661,6.0214,0.42,270.79
15400,307,-0.70613,50,0.9512,0.004626,,68.707,2.6146,0.32,71.73
15450,308,-1.82118,50,0.9511,0.003068,,66.241,5.765,0.4,162.06
15500,309,-0.4767,50,0.9509,0.003964,,69.797,2.1169,0.22,53.67
15550,310,-1.17185,50,0.9508,0.003448,,69.813,4.1984,0.42,112.99
15600,311,-3.07113,50,0.9506,0.00306,,67.002,6.4535,0.42,343.4
15650,312,-0.25002,50,0.9504,0.004061,,63.508,1.3065,0.18,40.93
15700,313,-1.7889,50,0.9503,0.003811,,68.132,4.5343,0.52,192.6
15750,314,-3.41793,50,0.9501,0.003457,,66.417,8.4164,0.56,348.77
15800,315,-4.82502,50,0.95,0.004401,,68.897,8.6665,0.54,549.59
15850,316,-0.81043,50,0.9498,0.003909,,59.795,3.5937,0.32,76.06
15900,317,-0.25454,50,0.9496,0.00513,,81.672,1.817,0.08,22.76
15950,318,-3.29359,50,0.9495,0.004681,,77.637,7.6773,0.48,335.29
16000,319,-3.54563,50,0.9493,0.003469,,66.522,8.0298,0.56,366.88
16050,320,-3.53896,50,0.9492,0.003321,,69.84,7.0664,0.54,393.0
16100,321,-1.72972,50,0.949,0.004492,,69.087,4.2164,0.32,190.89
16150,322,-5.99528,50,0.9489,0.003829,,70.87,11.0764,0.58,658.43
16200,323,-3.51972,50,0.9487,0.005124,,71.744,7.9608,0.52,359.87
16250,324,-2.27069,50,0.9485,0.003157,,63.837,5.389,0.44,243.85
16300,325,-5.75469,50,0.9484,0.0039,,70.851,9.466,0.56,667.4
16350,326,-2.95397,50,0.9482,0.00324,,66.084,5.6359,0.52,342.36
16400,327,-0.22917,50,0.9481,0.003658,,61.621,2.0297,0.18,26.72
16450,328,-2.53895,50,0.9479,0.003266,,68.75,5.5895,0.48,273.91
16500,329,-4.27012,50,0.9477,0.00402,,67.606,7.5032,0.58,493.59
16550,330,-2.40629,50,0.9476,0.00426,,63.872,5.6717,0.44,253.23
16600,331,-1.27516,50,0.9474,0.003636,,73.866,3.2107,0.18,149.61
16650,332,-4.73993,50,0.9473,0.004689,,73.75,10.0572,0.64,496.45
