global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
11100,221,-4.40681,50,0.9648,0.005118,,71.006,10.4045,0.68,441.39
11150,222,-1.22748,50,0.9647,0.004599,,76.203,4.8851,0.4,97.35
11200,223,-1.07102,50,0.9645,0.004265,,64.684,4.3373,0.4,90.11
11250,224,-0.14914,50,0.9644,0.004019,,68.588,1.5542,0.16,10.98
11300,225,-0.87166,50,0.9642,0.004568,,69.456,3.4706,0.28,74.14
11350,226,-0.6524,50,0.9641,0.00368,,72.348,2.9625,0.28,54.88
11400,227,-3.82093,50,0.9639,0.004289,,65.894,7.3788,0.54,433.08
11450,228,-0.914,50,0.9637,0.004683,,71.401,3.947,0.34,76.26
11500,229,-1.63876,50,0.9636,0.004626,,65.314,5.473,0.62,149.01
11550,230,-1.49722,50,0.9634,0.003452,,69.242,5.2439,0.46,123.85
11600,231,-2.04699,50,0.9633,0.003272,,76.631,6.2558,0.48,187.29
11650,232,-1.74447,50,0.9631,0.002985,,67.398,5.2214,0.56,167.05
11700,233,-3.28651,50,0.9629,0.003822,,68.05,9.7464,0.62,288.16
11750,234,-1.16988,50,0.9628,0.003064,,67.2,4.7652,0.48,91.92
11800,235,-4.04123,50,0.9626,0.003719,,72.353,9.7112,0.72,409.68
11850,236,-2.21874,50,0.9625,0.003042,,70.84,6.2522,0.44,207.32
11900,237,-0.8748,50,0.9623,0.003264,,66.923,3.6741,0.34,81.59
11950,238,-5.78579,50,0.9622,0.003298,,69.284,12.7091,0.76,592.46
12000,239,-1.3651,50,0.962,0.002984,,63.832,5.2874,0.46,115.53
12050,240,-1.54043,50,0.9618,0.006817,,84.258,5.5826,0.44,120.62
12100,241,-0.54214,50,0.9617,0.005726,,71.013,2.4752,0.22,58.73
12150,242,-2.55815,50,0.9615,0.004146,,70.481,7.8809,0.52,224.33
12200,243,-0.58651,50,0.9614,0.004397,,63.88,3.7181,0.26,25.12
12250,244,-0.9667,50,0.9612,0.00375,,72.708,3.8689,0.32,80.01
12300,245,-1.92961,50,0.961,0.003989,,70.037,5.5675,0.46,183.75
12350,246,-0.36444,50,0.9609,0.003388,,68.887,2.1163,0.22,36.41
12400,247,-2.01334,50,0.9607,0.003733,,67.272,6.5325,0.46,175.45
12450,248,-0.72707,50,0.9606,0.003704,,61.888,3.5067,0.26,58.23
12500,249,-0.8417,50,0.9604,0.003482,,67.2,3.6265,0.4,74.89
12550,250,-1.15464,50,0.9603,0.003696,,61.634,3.9535,0.4,115.12
12600,251,-0.71778,50,0.9601,0.005054,,64.024,2.6787,0.26,72.6
12650,252,-2.06404,50,0.9599,0.003523,,72.8,7.0861,0.54,167.48
12700,253,-2.62059,50,0.9598,0.004426,,60.631,7.111,0.64,254.16
12750,254,-1.22821,50,0.9596,0.003542,,59.356,3.8414,0.32,127.22
12800,255,-1.05956,50,0.9595,0.003732,,68.34,4.2295,0.36,88.22
12850,256,-3.82297,50,0.9593,0.003153,,68.953,9.9975,0.68,360.18
12900,257,-1.77125,50,0.9591,0.003419,,72.609,4.8542,0.52,184.46
12950,258,-4.81853,50,0.959,0.003707,,74.83,10.0076,0.72,507.83
13000,259,-2.3479,50,0.9588,0.00316,,71.677,6.7916,0.46,216.97
13050,260,-1.60121,50,0.9587,0.005702,,71.504,3.9593,0.42,182.87
13100,261,-0.1917,50,0.9585,0.004908,,62.769,1.9182,0.18,19.98
13150,262,-1.92277,50,0.9584,0.00454,,56.666,5.9533,0.56,179.99
13200,263,-3.52016,50,0.9582,0.004613,,69.059,7.8533,0.72,373.58
13250,264,-1.28701,50,0.958,0.004282,,72.138,4.6759,0.52,112.28
13300,265,-0.43849,50,0.9579,0.004956,,65.582,2.6923,0.22,34.53
13350,266,-1.5891,50,0.9577,0.004716,,65.204,4.7874,0.58,151.46
13400,267,-1.01127,50,0.9576,0.00377,,69.397,3.8269,0.32,93.68
13450,268,-1.45822,50,0.9574,0.004624,,67.545,5.6835,0.46,115.17
13500,269,-3.03938,50,0.9573,0.004581,,68.914,7.9077,0.56,301.62
13550,270,-3.70183,50,0.9571,0.004223,,64.031,7.8873,0.64,395.98
13600,271,-1.26826,50,0.9569,0.003929,,68.131,3.8233,0.34,136.91
13650,272,-1.94555,50,0.9568,0.004652,,66.848,5.5164,0.56,196.32
13700,273,-1.39156,50,0.9566,0.004151,,72.326,5.2375,0.64,115.77
13750,274,-0.17197,50,0.9565,0.004731,,62.715,1.8597,0.16,14.14
13800,275,-1.39142,50,0.9563,0.004487,,74.698,5.2297,0.42,107.49
13850,276,-1.38185,50,0.9561,0.004,,61.446,4.529,0.42,129.01
13900,277,-2.834,50,0.956,0.003963,,65.42,7.4532,0.62,277.19
13950,278,-2.44526,50,0.9558,0.004076,,74.877,7.6267,0.58,213.61
14000,279,-1.72461,50,0.9557,0.004539,,69.965,5.9576,0.56,143.99
14050,280,-2.71221,50,0.9555,0.00814,,76.002,8.5527,0.62,220.36
14100,281,-2.6045,50,0.9554,0.00722,,69.321,6.1239,0.46,282.34
14150,282,-1.64872,50,0.9552,0.007374,,68.782,5.3452,0.52,152.15
14200,283,-0.8458,50,0.955,0.006566,,75.464,3.7981,0.38,62.26
14250,284,-2.36789,50,0.9549,0.006276,,72.625,6.1971,0.48,233.82
14300,285,-3.75061,50,0.9547,0.006456,,70.781,9.4394,0.58,374.64
